1.000000000000000000e+02,6.645743718431998559e+01,6.638361841225739113e+01,6.568737257998941459e+01,6.506917292171658573e+01,6.493093122639128012e+01,6.466649289664280786e+01,6.416335832654222315e+01,6.411957275584320826e+01,6.355357802318396665e+01,0.000000000000000000e+00
1.000000000000000000e+02,6.749325170485872150e+01,6.671687843606872548e+01,6.671228725018832506e+01,6.659363687475197935e+01,6.582190487730400719e+01,6.520255694547140024e+01,6.506409074516184887e+01,6.447835776099695693e+01,6.425095212590599658e+01,0.000000000000000000e+00
1.000000000000000000e+02,7.184265880758695744e+01,7.037047100167968949e+01,6.873700710996428143e+01,6.826666122339885590e+01,6.785241786885714532e+01,6.763142153273419410e+01,6.685367029906782932e+01,6.684888847272657131e+01,6.592566437002000157e+01,0.000000000000000000e+00
1.000000000000000000e+02,7.365219761601639448e+01,7.351764706670603289e+01,7.318570524709585357e+01,7.185559421190095009e+01,7.068128218753182068e+01,6.987416093106057247e+01,6.928572964960110880e+01,6.887766100538858893e+01,6.880913514797400410e+01,0.000000000000000000e+00
1.000000000000000000e+02,7.467694875456186310e+01,7.438394550002881545e+01,7.433011545443406476e+01,7.380949791543196170e+01,7.194512939906046256e+01,7.187622982320016263e+01,7.185411110601359042e+01,7.012479715775236855e+01,6.937627907614444212e+01,0.000000000000000000e+00
1.000000000000000000e+02,7.698036629909034900e+01,7.547644568662886400e+01,7.478077000630942450e+01,7.448853549636505988e+01,7.396679821484752893e+01,7.363852349253399154e+01,7.288662606214417394e+01,7.275245925257142687e+01,7.164325152494409110e+01,0.000000000000000000e+00
1.000000000000000000e+02,7.981134908165391550e+01,7.722164915919999828e+01,7.714189831146263998e+01,7.580932205253331801e+01,7.563634507304226418e+01,7.493949328594716519e+01,7.455517040628883763e+01,7.450447887848187634e+01,7.304354217265813531e+01,0.000000000000000000e+00
1.000000000000000000e+02,7.998051014218087573e+01,7.848080297147998863e+01,7.773357188059047473e+01,7.730343032383494517e+01,7.613827657446110209e+01,7.608839581788004125e+01,7.579624445945566436e+01,7.525693984522263236e+01,7.522691478981184332e+01,0.000000000000000000e+00
1.000000000000000000e+02,8.319276640517142596e+01,8.114177796309564883e+01,8.040104420815058006e+01,7.897826309645998322e+01,7.896593101819181015e+01,7.822715269150477013e+01,7.670626689507669482e+01,7.595614384586907875e+01,7.551486517463395387e+01,0.000000000000000000e+00
1.000000000000000000e+02,8.547587571169523812e+01,8.463953044875714227e+01,8.399465638927999578e+01,8.390118601349333005e+01,8.366975695806000601e+01,8.337384927999586637e+01,8.278637542303773955e+01,8.221973966828296909e+01,8.139510733154098432e+01,0.000000000000000000e+00
1.000000000000000000e+02,9.133771163406264293e+01,9.019485798312888392e+01,8.905795628176494461e+01,8.808376488094717160e+01,8.762247534950000727e+01,8.699300440994322514e+01,8.670327050598571361e+01,8.613431520891825244e+01,8.592593056767540816e+01,0.000000000000000000e+00
