6.783750104516128943e+01,7.115815862465018427e+01,7.029932318637771971e+01
6.972505605818180641e+01,7.539041279066836410e+01,7.566087054065047823e+01
6.986882487272725939e+01,7.636202162169989549e+01,7.822543005652251225e+01
6.994070927999999299e+01,7.861868994872183691e+01,7.892305246262921514e+01
7.015636250181817957e+01,7.955784784018609912e+01,8.097047911950465959e+01
7.860757770624879015e+01,7.997330699027799028e+01,8.091313236840413481e+01
8.232040338575851024e+01,8.589834009953916905e+01,8.814730990909092156e+01
8.607414936774192427e+01,8.832776200363636576e+01,8.960459054489164998e+01
8.610530711889401800e+01,9.028227750464395740e+01,9.062705433892894291e+01
8.691312153732718571e+01,9.059085124949073986e+01,9.501143164363637084e+01
9.189855232162939558e+01,9.371633223105403943e+01,9.618019935686260169e+01
