6.669873450000001469e+01,6.927807058823529474e+01,7.136016840000000627e+01
6.683527782000000173e+01,6.950839588235294286e+01,7.150622219999999629e+01
7.037205423529412940e+01,7.265567000000000064e+01,7.308790400000000886e+01
7.160374941176470998e+01,7.662236600000001374e+01,7.783868339999999364e+01
7.175026941176470530e+01,8.032865600000000939e+01,8.110387999999998954e+01
7.399100000000001387e+01,8.126039000000000101e+01,8.207690600000000813e+01
7.985571764705883879e+01,8.145020000000000948e+01,8.232665599999999984e+01
8.106235294117647072e+01,8.164001000000000374e+01,8.320577600000001439e+01
8.158339999999999748e+01,8.392489109999999641e+01,8.493004999999999427e+01
8.279787058823529833e+01,8.444457089999998800e+01,8.641250100000000600e+01
9.375788000000000011e+01,9.451163529411765296e+01,9.465031999999999357e+01
